ID,a,b,params
584,1.58E-04,-0.0229,_d91_1121_P7
585,0.0011,-0.0453,_d91_1122
586,0.0206,-0.034,_d91_1122_P5
587,1.60E-04,-0.0232,_d91_1122_P7
588,0.0011,-0.0453,_d91_2111
589,0.0771,-0.0753,_d91_2111_P5
590,0.0043,-0.0467,_d91_2111_P7
591,0.0186,-0.0783,_d91_2112
592,0.0772,-0.0753,_d91_2112_P5
593,0.0043,-0.0467,_d91_2112_P7
594,0.0186,-0.0783,_d91_2121
595,0.0232,-0.0315,_d91_2121_P5
596,3.99E-04,-4.95,_d91_2121_P7
597,0.0014,-0.0355,_d91_2122
598,0.0232,-0.0314,_d91_2122_P5
599,3.99E-04,-4.9501,_d91_2122_P7
600,0.0014,-0.0355,_d92_1111
601,0.0489,-0.0609,_d92_1111_P5
602,0.002,-0.0394,_d92_1111_P7
603,0.0112,-0.0768,_d92_1112
604,0.0493,-0.0604,_d92_1112_P5
605,0.002,-0.0394,_d92_1112_P7
606,0.0112,-0.0768,_d92_1121
607,0.0159,-0.025,_d92_1121_P5
608,2.00E-04,-4.7856,_d92_1121_P7
609,9.14E-04,-0.0359,_d92_1122
610,0.0159,-0.0242,_d92_1122_P5
611,2.01E-04,-4.7854,_d92_1122_P7
612,9.14E-04,-0.0359,_d92_2111
613,0.0608,-0.0603,_d92_2111_P5
614,0.0032,-0.0348,_d92_2111_P7
615,0.0149,-0.0643,_d92_2112
616,0.0609,-0.0603,_d92_2112_P5
617,0.0032,-0.0348,_d92_2112_P7
618,0.0149,-0.0643,_d92_2121
619,0.0187,-0.0241,_d92_2121_P5
620,2.91E-04,-4.5973,_d92_2121_P7
621,0.0012,-0.0284,_d92_2122
622,0.0188,-0.024,_d92_2122_P5
623,2.91E-04,-4.5975,_d92_2122_P7
624,0.0012,-0.0284,_d93_1111
625,0.0604,-0.0731,_d93_1111_P5
626,0.0026,-0.0497,_d93_1111_P7
627,0.0131,-0.0863,_d93_1112
